method	mult	rmse	A	B	T
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.1645468655126062	0.90307058071285773	0.3894913996234301	0.16318576578429247
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.14654835894512735	0.89691949259373427	0.39230957227801805	0.17550030604310865
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.09555306033905663	0.90855437019426133	0.55826769322802816	0.3371855598529877
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.10292495907883058	0.90704625129330663	0.5452650486863172	0.27031168807858619
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.1076531037124303	0.87396003555128421	0.48726794430212422	0.24456478831430029
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.21595199584137567	0.91303775641903251	0.58109568145022561	0.26846312434303021
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.16002219687511005	0.95439801951287251	0.59425184781650064	0.50187343942958496
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.10231974209042138	0.93710796283053377	0.48426695108126794	0.27068241087899264
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.18609698808480293	0.91827458720373889	0.48869388258160401	0.35242724179300378
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	1	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	1	0.12080231163974113	0.93878236458566211	0.46959756979060124	0.27888389143293568
mle_a_t	1	-1.0	-1.0	-1.0	-1.0
huk	1	-1.0	-1.0	-1.0	-1.0
mle_t	2	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	2	0.09656504601655116	0.89586897259898945	0.46347434427478779	0.18771845699538178
mle_a_t	2	-1.0	-1.0	-1.0	-1.0
huk	2	-1.0	-1.0	-1.0	-1.0
mle_t	2	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	2	0.13063681548083222	0.94358973561601012	0.57150415966564627	0.38107507431944893
mle_a_t	2	-1.0	-1.0	-1.0	-1.0
huk	2	-1.0	-1.0	-1.0	-1.0
mle_t	2	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	2	0.06886765715492225	0.91311119744110503	0.5033603971770847	0.30105616087312143
mle_a_t	2	-1.0	-1.0	-1.0	-1.0
huk	2	-1.0	-1.0	-1.0	-1.0
mle_t	2	-1.0	-1.0	-1.0	-1.0
mle_a_b_t	2	0.11373488041464956	0.87967614935688165	0.46218892961152724	0.16717310338836613
mle_a_t	2	-1.0	-1.0	-1.0	-1.0
