index,subj,dotmode,number
1,huk,2d,1
2,huk,2d,2
3,huk,2d,3
4,huk,2d,4
5,huk,2d,5
6,huk,2d,6
7,huk,2d,7
8,huk,2d,8
9,huk,2d,9
10,huk,2d,10
11,huk,3d,1
12,huk,3d,2
13,huk,3d,3
14,huk,3d,4
15,huk,3d,5
16,huk,3d,6
17,huk,3d,7
18,huk,3d,8
19,huk,3d,9
20,huk,3d,10
21,klb,2d,1
22,klb,2d,2
23,klb,2d,5
24,klb,2d,6
25,klb,2d,7
26,klb,2d,8
27,klb,2d,9
28,klb,2d,10
29,klb,2d,11
30,klb,2d,12
31,klb,2d,13
32,klb,2d,14
33,klb,2d,15
34,klb,2d,16
35,klb,2d,17
36,klb,2d,18
37,klb,2d,19
38,klb,2d,20
39,klb,3d,97
40,klb,3d,98
41,klb,3d,99
42,klb,3d,100
43,klb,3d,101
44,klb,3d,102
45,klb,3d,103
46,klb,3d,104
47,klb,3d,105
48,klb,3d,106
49,klb,3d,107
50,klb,3d,108
51,klb,3d,109
52,klb,3d,110
53,klb,3d,111
54,klb,3d,112
55,klb,3d,113
56,klb,3d,114
57,klb,3d,115
58,klb,3d,116
59,krm,2d,3
60,krm,2d,4
61,krm,2d,5
62,krm,2d,6
63,krm,2d,7
64,krm,2d,8
65,krm,2d,9
66,krm,3d,11
67,krm,3d,12
68,krm,3d,13
69,krm,3d,14
70,krm,3d,15
71,krm,3d,16
72,krm,3d,17
73,krm,3d,18
74,krm,3d,19
75,krm,3d,20
76,krm,3d,21
77,krm,3d,22
78,krm,3d,23
79,krm,3d,24
80,krm,3d,25
81,krm,3d,26
82,krm,3d,27
83,krm,3d,28
84,krm,3d,29
85,lkc,2d,2
86,lkc,2d,3
87,lkc,2d,4
88,lkc,2d,5
89,lkc,2d,6
90,lkc,2d,7
91,lkc,2d,8
92,lkc,2d,9
93,lkc,2d,10
94,lkc,2d,11
95,lkc,3d,1
96,lkc,3d,2
97,lkc,3d,3
98,lkc,3d,4
99,lkc,3d,5
100,lkc,3d,6
101,lkc,3d,7
102,lkc,3d,8
103,lkc,3d,9
104,lkc,3d,10
105,lnk,2d,1
106,lnk,2d,2
107,lnk,2d,3
108,lnk,2d,4
109,lnk,2d,5
110,lnk,2d,6
111,lnk,2d,7
112,lnk,2d,8
113,lnk,2d,9
114,lnk,2d,10
115,lnk,2d,11
116,lnk,2d,12
117,lnk,2d,13
118,lnk,2d,14
119,lnk,2d,15
120,lnk,2d,16
121,lnk,2d,17
122,lnk,2d,18
123,lnk,2d,19
124,lnk,3d,1
125,lnk,3d,2
126,lnk,3d,3
127,lnk,3d,4
128,lnk,3d,5
129,lnk,3d,6
130,lnk,3d,7
131,lnk,3d,9
132,lnk,3d,13
133,lnk,3d,14
