index,subj,dotmode,number
1,huk,2d,1
2,huk,2d,2
3,huk,2d,3
4,huk,2d,4
5,huk,2d,5
6,huk,2d,6
7,huk,2d,7
8,huk,2d,8
9,huk,2d,9
10,huk,3d,1
11,huk,3d,2
12,huk,3d,3
13,huk,3d,4
14,huk,3d,5
15,huk,3d,6
16,huk,3d,7
17,huk,3d,8
18,huk,3d,9
19,klb,2d,1
20,klb,2d,2
21,klb,2d,5
22,klb,2d,6
23,klb,2d,7
24,klb,2d,8
25,klb,2d,9
26,klb,2d,10
27,klb,2d,11
28,klb,2d,12
29,klb,2d,13
30,klb,2d,14
31,klb,2d,15
32,klb,2d,16
33,klb,2d,17
34,klb,2d,18
35,klb,2d,19
36,klb,2d,20
37,klb,3d,1
38,klb,3d,2
39,klb,3d,3
40,klb,3d,4
41,klb,3d,5
42,klb,3d,6
43,klb,3d,7
44,klb,3d,8
45,klb,3d,9
46,klb,3d,10
47,klb,3d,11
48,klb,3d,12
49,klb,3d,13
50,klb,3d,14
51,klb,3d,15
52,klb,3d,16
53,klb,3d,17
54,klb,3d,18
55,klb,3d,19
56,klb,3d,20
57,klb,3d,21
58,klb,3d,22
59,klb,3d,23
60,klb,3d,24
61,klb,3d,25
62,klb,3d,26
63,klb,3d,27
64,klb,3d,28
65,klb,3d,29
66,klb,3d,30
67,klb,3d,31
68,klb,3d,32
69,klb,3d,33
70,klb,3d,34
71,klb,3d,35
72,klb,3d,36
73,klb,3d,37
74,klb,3d,38
75,klb,3d,39
76,klb,3d,40
77,klb,3d,41
78,klb,3d,42
79,klb,3d,43
80,klb,3d,44
81,klb,3d,45
82,klb,3d,46
83,klb,3d,47
84,klb,3d,48
85,klb,3d,49
86,klb,3d,50
87,klb,3d,51
88,klb,3d,52
89,klb,3d,53
90,klb,3d,54
91,klb,3d,55
92,klb,3d,56
93,klb,3d,57
94,klb,3d,58
95,klb,3d,59
96,klb,3d,60
97,klb,3d,61
98,klb,3d,62
99,klb,3d,63
100,klb,3d,64
101,klb,3d,65
102,klb,3d,66
103,klb,3d,67
104,klb,3d,68
105,klb,3d,69
106,klb,3d,70
107,klb,3d,71
108,klb,3d,72
109,klb,3d,73
110,klb,3d,74
111,klb,3d,75
112,klb,3d,76
113,klb,3d,77
114,klb,3d,78
115,klb,3d,79
116,klb,3d,80
117,klb,3d,81
118,klb,3d,82
119,klb,3d,83
120,klb,3d,84
121,klb,3d,85
122,klb,3d,86
123,klb,3d,87
124,klb,3d,88
125,klb,3d,89
126,klb,3d,90
127,klb,3d,91
128,klb,3d,92
129,klb,3d,93
130,klb,3d,94
131,klb,3d,95
132,klb,3d,96
133,klb,3d,97
134,klb,3d,98
135,klb,3d,99
136,klb,3d,100
137,klb,3d,101
138,klb,3d,102
139,klb,3d,103
140,klb,3d,104
141,klb,3d,105
142,klb,3d,106
143,klb,3d,107
144,klb,3d,108
145,klb,3d,109
146,klb,3d,110
147,klb,3d,111
148,klb,3d,112
149,klb,3d,113
150,klb,3d,114
151,klb,3d,115
152,klb,3d,116
153,krm,2d,3
154,krm,2d,4
155,krm,2d,5
156,krm,2d,6
157,krm,2d,7
158,krm,2d,8
159,krm,2d,9
160,krm,3d,2
161,krm,3d,3
162,krm,3d,4
163,krm,3d,5
164,krm,3d,6
165,krm,3d,7
166,krm,3d,8
167,krm,3d,9
168,krm,3d,10
169,krm,3d,11
170,krm,3d,12
171,krm,3d,13
172,krm,3d,14
173,krm,3d,15
174,krm,3d,16
175,krm,3d,17
176,krm,3d,18
177,krm,3d,19
178,krm,3d,20
179,krm,3d,21
180,krm,3d,22
181,krm,3d,23
182,krm,3d,24
183,krm,3d,25
184,krm,3d,26
185,krm,3d,27
186,krm,3d,28
187,krm,3d,29
188,lkc,2d,2
189,lkc,2d,3
190,lkc,2d,4
191,lkc,2d,5
192,lkc,2d,6
193,lkc,2d,7
194,lkc,2d,8
195,lkc,2d,9
196,lkc,2d,10
197,lkc,2d,11
198,lkc,3d,1
199,lkc,3d,2
200,lkc,3d,3
201,lkc,3d,4
202,lkc,3d,5
203,lkc,3d,6
204,lkc,3d,7
205,lkc,3d,8
206,lkc,3d,9
207,lkc,3d,10
208,lnk,2d,1
209,lnk,2d,2
210,lnk,2d,3
211,lnk,2d,4
212,lnk,2d,5
213,lnk,2d,6
214,lnk,2d,7
215,lnk,2d,8
216,lnk,2d,9
217,lnk,2d,10
218,lnk,2d,11
219,lnk,2d,12
220,lnk,2d,13
221,lnk,2d,14
222,lnk,2d,15
223,lnk,2d,16
224,lnk,2d,17
225,lnk,2d,18
226,lnk,2d,19
227,lnk,3d,1
228,lnk,3d,2
229,lnk,3d,3
230,lnk,3d,4
231,lnk,3d,5
232,lnk,3d,6
233,lnk,3d,7
234,lnk,3d,9
235,lnk,3d,13
236,lnk,3d,14
