,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.03,0.5467289719626168,1070.0
1,ALL,2d,1,0.03333333333333333,0.06,0.5041246562786434,1091.0
2,ALL,2d,1,0.03333333333333333,0.12,0.4670599803343166,1017.0
3,ALL,2d,1,0.03333333333333333,0.25,0.5279503105590062,1127.0
4,ALL,2d,1,0.03333333333333333,0.5,0.5951515151515151,825.0
5,ALL,2d,2,0.05,0.03,0.46929492039423804,1319.0
6,ALL,2d,2,0.05,0.06,0.49773413897280966,1324.0
7,ALL,2d,2,0.05,0.12,0.5447882736156352,1228.0
8,ALL,2d,2,0.05,0.25,0.6174911660777385,1132.0
9,ALL,2d,2,0.05,0.5,0.7071376011773363,1359.0
10,ALL,2d,3,0.06666666666666667,0.03,0.48417721518987344,948.0
11,ALL,2d,3,0.06666666666666667,0.06,0.6062917063870352,1049.0
12,ALL,2d,3,0.06666666666666667,0.12,0.647693817468106,1019.0
13,ALL,2d,3,0.06666666666666667,0.25,0.7635379061371841,1108.0
14,ALL,2d,3,0.06666666666666667,0.5,0.8607734806629834,905.0
15,ALL,2d,4,0.08333333333333333,0.03,0.5652173913043478,966.0
16,ALL,2d,4,0.08333333333333333,0.06,0.5692488262910798,852.0
17,ALL,2d,4,0.08333333333333333,0.12,0.7215025906735751,772.0
18,ALL,2d,4,0.08333333333333333,0.25,0.8241626794258373,836.0
19,ALL,2d,4,0.08333333333333333,0.5,0.9221621621621622,925.0
20,ALL,2d,5,0.1,0.03,0.5824777549623545,1461.0
21,ALL,2d,5,0.1,0.06,0.6402524544179523,1426.0
22,ALL,2d,5,0.1,0.12,0.6953947368421053,1520.0
23,ALL,2d,5,0.1,0.25,0.8498194945848375,1385.0
24,ALL,2d,5,0.1,0.5,0.98046875,1280.0
25,ALL,2d,6,0.13333333333333333,0.03,0.5953079178885631,1023.0
26,ALL,2d,6,0.13333333333333333,0.06,0.6512042818911686,1121.0
27,ALL,2d,6,0.13333333333333333,0.12,0.7283950617283951,1134.0
28,ALL,2d,6,0.13333333333333333,0.25,0.878727634194831,1006.0
29,ALL,2d,6,0.13333333333333333,0.5,0.9648033126293996,966.0
30,ALL,2d,7,0.16666666666666666,0.03,0.5984848484848485,1188.0
31,ALL,2d,7,0.16666666666666666,0.06,0.7056737588652482,1128.0
32,ALL,2d,7,0.16666666666666666,0.12,0.8069620253164557,1264.0
33,ALL,2d,7,0.16666666666666666,0.25,0.9518874907475944,1351.0
34,ALL,2d,7,0.16666666666666666,0.5,0.9817415730337079,1424.0
35,ALL,2d,8,0.21666666666666667,0.03,0.5921985815602837,1128.0
36,ALL,2d,8,0.21666666666666667,0.06,0.6824034334763949,1165.0
37,ALL,2d,8,0.21666666666666667,0.12,0.8532608695652174,920.0
38,ALL,2d,8,0.21666666666666667,0.25,0.9731843575418995,895.0
39,ALL,2d,8,0.21666666666666667,0.5,0.98805256869773,837.0
