A,B,bi,T,dotmode,coh,subj
0.9756758850760191,0.5,0,62.270190064856656,2d,0.25,ALL
0.9831807104661732,0.5,1,65.34754022213934,2d,0.25,ALL
0.9807465006449712,0.5,2,61.18624251215595,2d,0.25,ALL
0.9861712471451407,0.5,3,66.41975174316458,2d,0.25,ALL
0.9811484604664815,0.5,4,66.83955081084906,2d,0.25,ALL
0.9828657151241001,0.5,5,60.73901794916528,2d,0.25,ALL
0.893971031622148,0.5,0,114.8023291958434,2d,0.12,ALL
0.9099732466231677,0.5,1,112.67622438039169,2d,0.12,ALL
0.900278515608069,0.5,2,109.49951917070226,2d,0.12,ALL
0.9079646230813508,0.5,3,111.52548285403263,2d,0.12,ALL
0.9042204333235916,0.5,4,108.59928078588973,2d,0.12,ALL
0.8974469729367736,0.5,5,112.92889901077429,2d,0.12,ALL
0.9957202142352425,0.5,0,38.39837672542475,2d,0.5,ALL
0.9977164087694543,0.5,1,38.72369455566715,2d,0.5,ALL
0.997995492344124,0.5,2,37.38702786218548,2d,0.5,ALL
0.998507722447205,0.5,3,39.39215987228071,2d,0.5,ALL
0.997912497443509,0.5,4,38.95396937544482,2d,0.5,ALL
0.9984610125082446,0.5,5,40.72255638401377,2d,0.5,ALL
0.8321431007798842,0.5,0,1000.0000299568804,2d,0.03,ALL
0.8584161966211664,0.5,1,1000.0000306755145,2d,0.03,ALL
0.8296014927946609,0.5,2,1000.0000332028802,2d,0.03,ALL
0.8953901646231635,0.5,3,1000.0000121854678,2d,0.03,ALL
0.8340811724280772,0.5,4,1000.0000297178734,2d,0.03,ALL
0.858546265786463,0.5,5,1000.0000233309007,2d,0.03,ALL
0.7960014006800562,0.5,0,194.55899964117458,2d,0.06,ALL
0.8137029225414916,0.5,1,191.29119663596182,2d,0.06,ALL
0.8354546538073844,0.5,2,237.32978723897128,2d,0.06,ALL
0.8198597721787417,0.5,3,224.59411866492417,2d,0.06,ALL
0.8168660791299684,0.5,4,206.04639102421405,2d,0.06,ALL
0.8025635801702349,0.5,5,171.8757300222702,2d,0.06,ALL
