di,dotmode,y,x,dur,subj,ntrials
1,2d,0.47115384615384615,0.03,0.03333333333333333,ALL,312.0
1,2d,0.48717948717948717,0.06,0.03333333333333333,ALL,312.0
1,2d,0.4935483870967742,0.12,0.03333333333333333,ALL,310.0
1,2d,0.5292207792207793,0.25,0.03333333333333333,ALL,308.0
1,2d,0.5726495726495726,0.5,0.03333333333333333,ALL,234.0
2,2d,0.5135135135135135,0.03,0.05,ALL,370.0
2,2d,0.49019607843137253,0.06,0.05,ALL,357.0
2,2d,0.5173410404624278,0.12,0.05,ALL,346.0
2,2d,0.6219512195121951,0.25,0.05,ALL,328.0
2,2d,0.7139303482587065,0.5,0.05,ALL,402.0
3,2d,0.41823899371069184,0.03,0.06666666666666667,ALL,318.0
3,2d,0.5949367088607594,0.06,0.06666666666666667,ALL,316.0
3,2d,0.6528662420382165,0.12,0.06666666666666667,ALL,314.0
3,2d,0.7580645161290323,0.25,0.06666666666666667,ALL,310.0
3,2d,0.8846153846153846,0.5,0.06666666666666667,ALL,260.0
4,2d,0.5205047318611987,0.03,0.08333333333333333,ALL,317.0
4,2d,0.6,0.06,0.08333333333333333,ALL,280.0
4,2d,0.7127659574468085,0.12,0.08333333333333333,ALL,282.0
4,2d,0.8401360544217688,0.25,0.08333333333333333,ALL,294.0
4,2d,0.9289940828402367,0.5,0.08333333333333333,ALL,338.0
5,2d,0.5617529880478087,0.03,0.1,ALL,251.0
5,2d,0.6245487364620939,0.06,0.1,ALL,277.0
5,2d,0.7636363636363637,0.12,0.1,ALL,275.0
5,2d,0.8032786885245902,0.25,0.1,ALL,244.0
5,2d,0.9563106796116505,0.5,0.1,ALL,206.0
6,2d,0.5933014354066986,0.03,0.11666666666666667,ALL,418.0
6,2d,0.6326034063260341,0.06,0.11666666666666667,ALL,411.0
6,2d,0.6944444444444444,0.12,0.11666666666666667,ALL,396.0
6,2d,0.8907766990291263,0.25,0.11666666666666667,ALL,412.0
6,2d,0.975609756097561,0.5,0.11666666666666667,ALL,410.0
7,2d,0.5995475113122172,0.03,0.15,ALL,442.0
7,2d,0.6417233560090703,0.06,0.15,ALL,441.0
7,2d,0.811816192560175,0.12,0.15,ALL,457.0
7,2d,0.9291666666666667,0.25,0.15,ALL,480.0
7,2d,0.9752380952380952,0.5,0.15,ALL,525.0
8,2d,0.5714285714285714,0.03,0.2,ALL,665.0
8,2d,0.6948424068767909,0.06,0.2,ALL,698.0
8,2d,0.8387096774193549,0.12,0.2,ALL,682.0
8,2d,0.9618768328445748,0.25,0.2,ALL,682.0
8,2d,0.9836867862969005,0.5,0.2,ALL,613.0
9,2d,0.62152133580705,0.03,0.3,ALL,539.0
9,2d,0.715370018975332,0.06,0.3,ALL,527.0
9,2d,0.8198198198198198,0.12,0.3,ALL,555.0
9,2d,0.9644194756554307,0.25,0.3,ALL,534.0
9,2d,0.9981684981684982,0.5,0.3,ALL,546.0
10,2d,0.6409807355516638,0.03,0.4166666666666667,ALL,571.0
10,2d,0.7384898710865562,0.06,0.4166666666666667,ALL,543.0
10,2d,0.8782287822878229,0.12,0.4166666666666667,ALL,542.0
10,2d,0.9665354330708661,0.25,0.4166666666666667,ALL,508.0
10,2d,0.9963369963369964,0.5,0.4166666666666667,ALL,546.0
11,2d,0.6126126126126126,0.03,0.5833333333333334,ALL,555.0
11,2d,0.761744966442953,0.06,0.5833333333333334,ALL,596.0
11,2d,0.8931552587646077,0.12,0.5833333333333334,ALL,599.0
11,2d,0.9746031746031746,0.25,0.5833333333333334,ALL,630.0
11,2d,0.9948096885813149,0.5,0.5833333333333334,ALL,578.0
12,2d,0.6906614785992218,0.03,0.8333333333333334,ALL,514.0
12,2d,0.7957198443579766,0.06,0.8333333333333334,ALL,514.0
12,2d,0.9105058365758755,0.12,0.8333333333333334,ALL,514.0
12,2d,0.9727626459143969,0.25,0.8333333333333334,ALL,514.0
12,2d,0.996551724137931,0.5,0.8333333333333334,ALL,580.0
