lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.04351374054968075,0.5078173584086063,0.044843367672324,0.5078173584086063,2d,0.03333333333333333,1,KRM,0
0.0480189089589461,0.3670795259241262,0.11936708148868005,0.3670795259241262,2d,0.05,2,KRM,0
0.059392112378730294,0.1871947886297377,0.08803710259614043,0.1871947886297377,2d,0.06666666666666667,3,KRM,0
0.026252585926042234,0.22991149521032905,0.0712786339025406,0.22991149521032905,2d,0.08333333333333333,4,KRM,0
0.026156223690183535,0.13803662536443154,0.0758801020408163,0.13803662536443154,2d,0.1,5,KRM,0
0.01006671354073684,0.09221745713591559,0.08065687329353508,0.09221745713591559,2d,0.11666666666666667,6,KRM,0
0.05553935860058311,0.05815870991253645,0.0037172011661807877,0.05815870991253645,2d,0.15,7,KRM,0
0.011935668270881368,0.0805111151603499,0.028571428571428602,0.0805111151603499,2d,0.2,8,KRM,0
0.012490527380936483,0.025311272843552612,0.06666170986706338,0.025311272843552612,2d,0.3,9,KRM,0
0.021373121092495614,0.06021268171749729,0.03671599541044095,0.06021268171749729,2d,0.4166666666666667,10,KRM,0
0.004100950346599581,0.06913263801462144,0.02690899368240972,0.06913263801462144,2d,0.5833333333333334,11,KRM,0
0.014321592728551354,0.0332566888362488,0.012601585276967968,0.0332566888362488,2d,0.8333333333333334,12,KRM,0
