di,dotmode,y,x,dur,subj,ntrials
1,2d,0.3888888888888889,0.03,0.03333333333333333,KRM,36.0
1,2d,0.4722222222222222,0.06,0.03333333333333333,KRM,36.0
1,2d,0.5,0.12,0.03333333333333333,KRM,36.0
1,2d,0.5,0.25,0.03333333333333333,KRM,36.0
1,2d,0.7083333333333334,0.5,0.03333333333333333,KRM,24.0
2,2d,0.3611111111111111,0.03,0.05,KRM,36.0
2,2d,0.5277777777777778,0.06,0.05,KRM,36.0
2,2d,0.6388888888888888,0.12,0.05,KRM,36.0
2,2d,0.6388888888888888,0.25,0.05,KRM,36.0
2,2d,0.8333333333333334,0.5,0.05,KRM,48.0
3,2d,0.5277777777777778,0.03,0.06666666666666667,KRM,36.0
3,2d,0.6388888888888888,0.06,0.06666666666666667,KRM,36.0
3,2d,0.6111111111111112,0.12,0.06666666666666667,KRM,36.0
3,2d,0.8055555555555556,0.25,0.06666666666666667,KRM,36.0
3,2d,0.9166666666666666,0.5,0.06666666666666667,KRM,24.0
4,2d,0.5,0.03,0.08333333333333333,KRM,24.0
4,2d,0.5416666666666666,0.06,0.08333333333333333,KRM,24.0
4,2d,0.625,0.12,0.08333333333333333,KRM,24.0
4,2d,0.75,0.25,0.08333333333333333,KRM,24.0
4,2d,0.9722222222222222,0.5,0.08333333333333333,KRM,36.0
5,2d,0.4166666666666667,0.03,0.1,KRM,24.0
5,2d,0.7083333333333334,0.06,0.1,KRM,24.0
5,2d,0.7916666666666666,0.12,0.1,KRM,24.0
5,2d,0.8333333333333334,0.25,0.1,KRM,18.0
5,2d,1.0,0.5,0.1,KRM,12.0
6,2d,0.7222222222222222,0.03,0.11666666666666667,KRM,36.0
6,2d,0.6944444444444444,0.06,0.11666666666666667,KRM,36.0
6,2d,0.7222222222222222,0.12,0.11666666666666667,KRM,36.0
6,2d,0.9444444444444444,0.25,0.11666666666666667,KRM,36.0
6,2d,1.0,0.5,0.11666666666666667,KRM,36.0
7,2d,0.4444444444444444,0.03,0.15,KRM,36.0
7,2d,0.7777777777777778,0.06,0.15,KRM,36.0
7,2d,0.8888888888888888,0.12,0.15,KRM,36.0
7,2d,0.9285714285714286,0.25,0.15,KRM,42.0
7,2d,1.0,0.5,0.15,KRM,48.0
8,2d,0.5166666666666667,0.03,0.2,KRM,60.0
8,2d,0.7,0.06,0.2,KRM,60.0
8,2d,0.8833333333333333,0.12,0.2,KRM,60.0
8,2d,0.9833333333333333,0.25,0.2,KRM,60.0
8,2d,1.0,0.5,0.2,KRM,48.0
9,2d,0.7291666666666666,0.03,0.3,KRM,48.0
9,2d,0.8125,0.06,0.3,KRM,48.0
9,2d,0.9166666666666666,0.12,0.3,KRM,48.0
9,2d,0.9523809523809523,0.25,0.3,KRM,42.0
9,2d,1.0,0.5,0.3,KRM,48.0
10,2d,0.6666666666666666,0.03,0.4166666666666667,KRM,48.0
10,2d,0.7083333333333334,0.06,0.4166666666666667,KRM,48.0
10,2d,0.9166666666666666,0.12,0.4166666666666667,KRM,48.0
10,2d,0.9523809523809523,0.25,0.4166666666666667,KRM,42.0
10,2d,1.0,0.5,0.4166666666666667,KRM,48.0
11,2d,0.6458333333333334,0.03,0.5833333333333334,KRM,48.0
11,2d,0.6666666666666666,0.06,0.5833333333333334,KRM,48.0
11,2d,0.9375,0.12,0.5833333333333334,KRM,48.0
11,2d,1.0,0.25,0.5833333333333334,KRM,60.0
11,2d,1.0,0.5,0.5833333333333334,KRM,48.0
12,2d,0.7083333333333334,0.03,0.8333333333333334,KRM,48.0
12,2d,0.9375,0.06,0.8333333333333334,KRM,48.0
12,2d,0.9583333333333334,0.12,0.8333333333333334,KRM,48.0
12,2d,1.0,0.25,0.8333333333333334,KRM,48.0
12,2d,1.0,0.5,0.8333333333333334,KRM,60.0
