lapse,loc,scale,thresh,dotmode,dur,di,subj,bi
0.0673801587200432,0.09523427738442317,0.062276134943773404,0.11479236508944882,2d,,,ALL,0
0.06685548754925986,0.09905048108210121,0.06254219162154656,0.11851269744430575,2d,,,ALL,1
0.06467823414544305,0.09577259475218661,0.06481882548937941,0.11517723338721224,2d,,,ALL,2
0.07451309981459325,0.08938513123148922,0.05973225131889488,0.11052416713848755,2d,,,ALL,3
0.0731227537145791,0.09268542621130088,0.05836156231199962,0.11287881564338925,2d,,,ALL,4
0.06943791137781748,0.09839077467721784,0.06196307094266275,0.11855270398387917,2d,,,ALL,5
0.0694751214781421,0.0975496537900875,0.05955782312925165,0.1169412235040469,2d,,,ALL,6
0.07141008270846133,0.09109902124114956,0.06124531445231149,0.11170002835986571,2d,,,ALL,7
0.07107073516968332,0.0944498259550419,0.06013903169686237,0.11456454945656994,2d,,,ALL,8
0.07778169218984475,0.09016920033319452,0.05619047619047615,0.11111127923688642,2d,,,ALL,9
0.07360993518653665,0.08959010134666112,0.06103915035401915,0.11087830451089362,2d,,,ALL,10
