di,dotmode,y,x,dur,subj,ntrials
1,2d,0.5078125,0.0,0.03333333333333333,ALL,128.0
1,2d,0.5,0.015,0.03333333333333333,ALL,14.0
1,2d,0.47530864197530864,0.03,0.03333333333333333,ALL,324.0
1,2d,0.4876543209876543,0.06,0.03333333333333333,ALL,324.0
1,2d,0.4968944099378882,0.12,0.03333333333333333,ALL,322.0
1,2d,0.53125,0.25,0.03333333333333333,ALL,320.0
1,2d,0.5650406504065041,0.5,0.03333333333333333,ALL,246.0
1,2d,0.5642857142857143,1.0,0.03333333333333333,ALL,140.0
2,2d,0.490625,0.0,0.05,ALL,320.0
2,2d,0.40625,0.015,0.05,ALL,32.0
2,2d,0.4735376044568245,0.03,0.05,ALL,718.0
2,2d,0.5419630156472262,0.06,0.05,ALL,703.0
2,2d,0.5845481049562682,0.12,0.05,ALL,686.0
2,2d,0.6858006042296072,0.25,0.05,ALL,662.0
2,2d,0.7813411078717201,0.5,0.05,ALL,686.0
2,2d,0.8803191489361702,1.0,0.05,ALL,376.0
3,2d,0.5148148148148148,0.0,0.08333333333333333,ALL,270.0
3,2d,0.7,0.015,0.08333333333333333,ALL,20.0
3,2d,0.537542662116041,0.03,0.08333333333333333,ALL,586.0
3,2d,0.6090750436300174,0.06,0.08333333333333333,ALL,573.0
3,2d,0.735191637630662,0.12,0.08333333333333333,ALL,574.0
3,2d,0.8273381294964028,0.25,0.08333333333333333,ALL,556.0
3,2d,0.9377224199288257,0.5,0.08333333333333333,ALL,562.0
3,2d,0.9883720930232558,1.0,0.08333333333333333,ALL,258.0
4,2d,0.48717948717948717,0.0,0.11666666666666667,ALL,234.0
4,2d,0.7142857142857143,0.015,0.11666666666666667,ALL,14.0
4,2d,0.5930232558139535,0.03,0.11666666666666667,ALL,430.0
4,2d,0.6329411764705882,0.06,0.11666666666666667,ALL,425.0
4,2d,0.6900726392251816,0.12,0.11666666666666667,ALL,413.0
4,2d,0.8873239436619719,0.25,0.11666666666666667,ALL,426.0
4,2d,0.976303317535545,0.5,0.11666666666666667,ALL,422.0
4,2d,1.0,1.0,0.11666666666666667,ALL,188.0
5,2d,0.5865384615384616,0.0,0.15,ALL,312.0
5,2d,0.35,0.015,0.15,ALL,20.0
5,2d,0.5903614457831325,0.03,0.15,ALL,581.0
5,2d,0.6609880749574105,0.06,0.15,ALL,587.0
5,2d,0.8055105348460292,0.12,0.15,ALL,617.0
5,2d,0.9367283950617284,0.25,0.15,ALL,648.0
5,2d,0.976878612716763,0.5,0.15,ALL,692.0
5,2d,1.0,1.0,0.15,ALL,269.0
6,2d,0.4481707317073171,0.0,0.21666666666666667,ALL,328.0
6,2d,0.6071428571428571,0.015,0.21666666666666667,ALL,28.0
6,2d,0.5880640465793304,0.03,0.21666666666666667,ALL,687.0
6,2d,0.6960926193921853,0.06,0.21666666666666667,ALL,691.0
6,2d,0.849025974025974,0.12,0.21666666666666667,ALL,616.0
6,2d,0.9593220338983051,0.25,0.21666666666666667,ALL,590.0
6,2d,0.9882154882154882,0.5,0.21666666666666667,ALL,594.0
6,2d,1.0,1.0,0.21666666666666667,ALL,317.0
7,2d,0.4627831715210356,0.0,0.31666666666666665,ALL,309.0
7,2d,0.6363636363636364,0.015,0.31666666666666665,ALL,22.0
7,2d,0.6175496688741722,0.03,0.31666666666666665,ALL,604.0
7,2d,0.7133550488599348,0.06,0.31666666666666665,ALL,614.0
7,2d,0.8304278922345484,0.12,0.31666666666666665,ALL,631.0
7,2d,0.9646464646464646,0.25,0.31666666666666665,ALL,594.0
7,2d,0.9948805460750854,0.5,0.31666666666666665,ALL,586.0
7,2d,1.0,1.0,0.31666666666666665,ALL,258.0
8,2d,0.48615384615384616,0.0,0.45,ALL,325.0
8,2d,0.625,0.015,0.45,ALL,24.0
8,2d,0.636650868878357,0.03,0.45,ALL,633.0
8,2d,0.7317073170731707,0.06,0.45,ALL,615.0
8,2d,0.8857142857142857,0.12,0.45,ALL,630.0
8,2d,0.9698795180722891,0.25,0.45,ALL,664.0
8,2d,0.9968454258675079,0.5,0.45,ALL,634.0
8,2d,1.0,1.0,0.45,ALL,274.0
9,2d,0.543859649122807,0.0,0.65,ALL,342.0
9,2d,0.38461538461538464,0.015,0.65,ALL,26.0
9,2d,0.6399416909620991,0.03,0.65,ALL,686.0
9,2d,0.7728706624605678,0.06,0.65,ALL,634.0
9,2d,0.8885400313971743,0.12,0.65,ALL,637.0
9,2d,0.981651376146789,0.25,0.65,ALL,654.0
9,2d,0.9956521739130435,0.5,0.65,ALL,690.0
9,2d,1.0,1.0,0.65,ALL,333.0
10,2d,0.4166666666666667,0.0,0.95,ALL,168.0
10,2d,0.5625,0.015,0.95,ALL,16.0
10,2d,0.7002881844380403,0.03,0.95,ALL,347.0
10,2d,0.8098591549295775,0.06,0.95,ALL,426.0
10,2d,0.9055793991416309,0.12,0.95,ALL,466.0
10,2d,0.9698275862068966,0.25,0.95,ALL,464.0
10,2d,0.993421052631579,0.5,0.95,ALL,456.0
10,2d,1.0,1.0,0.95,ALL,215.0
11,2d,0.5454545454545454,0.0,1.3666666666666667,ALL,44.0
11,2d,0.625,0.015,1.3666666666666667,ALL,8.0
11,2d,0.7261904761904762,0.03,1.3666666666666667,ALL,84.0
11,2d,0.6818181818181818,0.06,1.3666666666666667,ALL,88.0
11,2d,0.9318181818181818,0.12,1.3666666666666667,ALL,88.0
11,2d,0.9705882352941176,0.25,1.3666666666666667,ALL,102.0
11,2d,1.0,0.5,1.3666666666666667,ALL,110.0
11,2d,1.0,1.0,1.3666666666666667,ALL,40.0
12,2d,0.5833333333333334,0.015,1.9833333333333334,ALL,12.0
12,2d,0.6166666666666667,0.03,1.9833333333333334,ALL,60.0
12,2d,0.85,0.06,1.9833333333333334,ALL,60.0
12,2d,0.9166666666666666,0.12,1.9833333333333334,ALL,60.0
12,2d,1.0,0.25,1.9833333333333334,ALL,60.0
12,2d,1.0,0.5,1.9833333333333334,ALL,62.0
12,2d,1.0,1.0,1.9833333333333334,ALL,56.0
13,2d,0.4,0.015,2.8666666666666667,ALL,20.0
13,2d,0.67,0.03,2.8666666666666667,ALL,100.0
13,2d,0.8469387755102041,0.06,2.8666666666666667,ALL,98.0
13,2d,0.9772727272727273,0.12,2.8666666666666667,ALL,88.0
13,2d,1.0,0.25,2.8666666666666667,ALL,80.0
13,2d,0.9875,0.5,2.8666666666666667,ALL,80.0
13,2d,1.0,1.0,2.8666666666666667,ALL,64.0
14,2d,0.6666666666666666,0.015,4.133333333333334,ALL,24.0
14,2d,0.675,0.03,4.133333333333334,ALL,120.0
14,2d,0.860655737704918,0.06,4.133333333333334,ALL,122.0
14,2d,0.9393939393939394,0.12,4.133333333333334,ALL,132.0
14,2d,1.0,0.25,4.133333333333334,ALL,140.0
14,2d,1.0,0.5,4.133333333333334,ALL,140.0
14,2d,1.0,1.0,4.133333333333334,ALL,112.0
