di,dotmode,y,x,dur,subj,ntrials
1,2d,0.5078125,0.0,0.03333333333333333,ALL,128.0
1,2d,0.5,0.015,0.03333333333333333,ALL,14.0
1,2d,0.47530864197530864,0.03,0.03333333333333333,ALL,324.0
1,2d,0.4876543209876543,0.06,0.03333333333333333,ALL,324.0
1,2d,0.4968944099378882,0.12,0.03333333333333333,ALL,322.0
1,2d,0.53125,0.25,0.03333333333333333,ALL,320.0
1,2d,0.5650406504065041,0.5,0.03333333333333333,ALL,246.0
1,2d,0.5642857142857143,1.0,0.03333333333333333,ALL,140.0
2,2d,0.4875,0.0,0.05,ALL,160.0
2,2d,0.3333333333333333,0.015,0.05,ALL,18.0
2,2d,0.5051546391752577,0.03,0.05,ALL,388.0
2,2d,0.5013333333333333,0.06,0.05,ALL,375.0
2,2d,0.5194444444444445,0.12,0.05,ALL,360.0
2,2d,0.6205882352941177,0.25,0.05,ALL,340.0
2,2d,0.7101449275362319,0.5,0.05,ALL,414.0
2,2d,0.8220338983050848,1.0,0.05,ALL,236.0
3,2d,0.5193548387096775,0.0,0.06666666666666667,ALL,310.0
3,2d,0.6666666666666666,0.015,0.06666666666666667,ALL,24.0
3,2d,0.47706422018348627,0.03,0.06666666666666667,ALL,654.0
3,2d,0.5895765472312704,0.06,0.06666666666666667,ALL,614.0
3,2d,0.6796116504854369,0.12,0.06666666666666667,ALL,618.0
3,2d,0.7977707006369427,0.25,0.06666666666666667,ALL,628.0
3,2d,0.909967845659164,0.5,0.06666666666666667,ALL,622.0
3,2d,0.9785714285714285,1.0,0.06666666666666667,ALL,280.0
4,2d,0.4957983193277311,0.0,0.1,ALL,238.0
4,2d,0.5555555555555556,0.015,0.1,ALL,18.0
4,2d,0.5612244897959183,0.03,0.1,ALL,490.0
4,2d,0.6403326403326404,0.06,0.1,ALL,481.0
4,2d,0.7418032786885246,0.12,0.1,ALL,488.0
4,2d,0.8542094455852156,0.25,0.1,ALL,487.0
4,2d,0.9700854700854701,0.5,0.1,ALL,468.0
4,2d,1.0,1.0,0.1,ALL,236.0
5,2d,0.4888888888888889,0.0,0.13333333333333333,ALL,270.0
5,2d,0.5,0.015,0.13333333333333333,ALL,18.0
5,2d,0.5980392156862745,0.03,0.13333333333333333,ALL,510.0
5,2d,0.6280701754385964,0.06,0.13333333333333333,ALL,570.0
5,2d,0.7457943925233644,0.12,0.13333333333333333,ALL,535.0
5,2d,0.908411214953271,0.25,0.13333333333333333,ALL,535.0
5,2d,0.9688644688644689,0.5,0.13333333333333333,ALL,546.0
5,2d,1.0,1.0,0.13333333333333333,ALL,234.0
6,2d,0.5755395683453237,0.0,0.18333333333333332,ALL,278.0
6,2d,0.4,0.015,0.18333333333333332,ALL,20.0
6,2d,0.6127272727272727,0.03,0.18333333333333332,ALL,550.0
6,2d,0.6781609195402298,0.06,0.18333333333333332,ALL,522.0
6,2d,0.8369175627240143,0.12,0.18333333333333332,ALL,558.0
6,2d,0.9564356435643564,0.25,0.18333333333333332,ALL,505.0
6,2d,0.983402489626556,0.5,0.18333333333333332,ALL,482.0
6,2d,1.0,1.0,0.18333333333333332,ALL,234.0
7,2d,0.4583333333333333,0.0,0.25,ALL,264.0
7,2d,0.7777777777777778,0.015,0.25,ALL,18.0
7,2d,0.5720164609053497,0.03,0.25,ALL,486.0
7,2d,0.6982758620689655,0.06,0.25,ALL,464.0
7,2d,0.8395604395604396,0.12,0.25,ALL,455.0
7,2d,0.9502982107355865,0.25,0.25,ALL,503.0
7,2d,0.9922480620155039,0.5,0.25,ALL,516.0
7,2d,1.0,1.0,0.25,ALL,212.0
8,2d,0.44664031620553357,0.0,0.3333333333333333,ALL,253.0
8,2d,0.6,0.015,0.3333333333333333,ALL,20.0
8,2d,0.6193181818181818,0.03,0.3333333333333333,ALL,528.0
8,2d,0.7266313932980599,0.06,0.3333333333333333,ALL,567.0
8,2d,0.8317399617590823,0.12,0.3333333333333333,ALL,523.0
8,2d,0.9686192468619247,0.25,0.3333333333333333,ALL,478.0
8,2d,0.9959514170040485,0.5,0.3333333333333333,ALL,494.0
8,2d,1.0,1.0,0.3333333333333333,ALL,234.0
9,2d,0.47634069400630913,0.0,0.45,ALL,317.0
9,2d,0.625,0.015,0.45,ALL,24.0
9,2d,0.6377551020408163,0.03,0.45,ALL,588.0
9,2d,0.7355072463768116,0.06,0.45,ALL,552.0
9,2d,0.8792184724689165,0.12,0.45,ALL,563.0
9,2d,0.9717607973421927,0.25,0.45,ALL,602.0
9,2d,0.9967159277504105,0.5,0.45,ALL,609.0
9,2d,1.0,1.0,0.45,ALL,274.0
10,2d,0.5882352941176471,0.0,0.6333333333333333,ALL,272.0
10,2d,0.4444444444444444,0.015,0.6333333333333333,ALL,18.0
10,2d,0.6160877513711152,0.03,0.6333333333333333,ALL,547.0
10,2d,0.757455268389662,0.06,0.6333333333333333,ALL,503.0
10,2d,0.8892988929889298,0.12,0.6333333333333333,ALL,542.0
10,2d,0.9751332149200711,0.25,0.6333333333333333,ALL,563.0
10,2d,0.9964476021314387,0.5,0.6333333333333333,ALL,563.0
10,2d,1.0,1.0,0.6333333333333333,ALL,274.0
11,2d,0.4010989010989011,0.0,0.8666666666666667,ALL,182.0
11,2d,0.4583333333333333,0.015,0.8666666666666667,ALL,24.0
11,2d,0.7062634989200864,0.03,0.8666666666666667,ALL,463.0
11,2d,0.7981481481481482,0.06,0.8666666666666667,ALL,540.0
11,2d,0.9134615384615384,0.12,0.8666666666666667,ALL,520.0
11,2d,0.9726027397260274,0.25,0.8666666666666667,ALL,511.0
11,2d,0.9940476190476191,0.5,0.8666666666666667,ALL,504.0
11,2d,1.0,1.0,0.8666666666666667,ALL,204.0
12,2d,0.5,0.0,1.1833333333333333,ALL,108.0
12,2d,0.75,0.015,1.1833333333333333,ALL,4.0
12,2d,0.7196969696969697,0.03,1.1833333333333333,ALL,132.0
12,2d,0.7432432432432432,0.06,1.1833333333333333,ALL,148.0
12,2d,0.8920454545454546,0.12,1.1833333333333333,ALL,176.0
12,2d,0.978494623655914,0.25,1.1833333333333333,ALL,186.0
12,2d,0.9945652173913043,0.5,1.1833333333333333,ALL,184.0
12,2d,1.0,1.0,1.1833333333333333,ALL,86.0
13,2d,0.625,0.015,1.65,ALL,8.0
13,2d,0.7,0.03,1.65,ALL,40.0
13,2d,0.9,0.06,1.65,ALL,40.0
13,2d,0.975,0.12,1.65,ALL,40.0
13,2d,1.0,0.25,1.65,ALL,42.0
13,2d,1.0,0.5,1.65,ALL,50.0
13,2d,1.0,1.0,1.65,ALL,40.0
14,2d,0.4166666666666667,0.015,2.2666666666666666,ALL,12.0
14,2d,0.5666666666666667,0.03,2.2666666666666666,ALL,60.0
14,2d,0.7333333333333333,0.06,2.2666666666666666,ALL,60.0
14,2d,0.8833333333333333,0.12,2.2666666666666666,ALL,60.0
14,2d,1.0,0.25,2.2666666666666666,ALL,60.0
14,2d,1.0,0.5,2.2666666666666666,ALL,60.0
14,2d,1.0,1.0,2.2666666666666666,ALL,48.0
15,2d,0.45,0.015,3.1333333333333333,ALL,20.0
15,2d,0.6458333333333334,0.03,3.1333333333333333,ALL,96.0
15,2d,0.9125,0.06,3.1333333333333333,ALL,80.0
15,2d,0.9875,0.12,3.1333333333333333,ALL,80.0
15,2d,1.0,0.25,3.1333333333333333,ALL,80.0
15,2d,0.9878048780487805,0.5,3.1333333333333333,ALL,82.0
15,2d,1.0,1.0,3.1333333333333333,ALL,72.0
