A,i,K,N,TND,S,thresh,T,cohs
0,0.03333333333333333,0,0,0,10,nan,0,0
0,0.06666666666666667,0,0,0,10,0.20991754583450778,0,0
0,0.1,0,0,0,10,0.15518917828086468,0,0
0,0.16666666666666666,0,0,0,10,0.09499464363430182,0,0
0,0.26666666666666666,0,0,0,10,0.08859931282058578,0,0
0,0.45,0,0,0,10,0.07307808149574545,0,0
0,0.7666666666666667,0,0,0,10,0.05578040400407057,0,0
0,1.2666666666666666,0,0,0,10,0.053380064846336645,0,0
0,2.1333333333333333,0,0,0,10,0.061240004106170025,0,0
0,3.566666666666667,0,0,0,10,0.03828995987773828,0,0
0,0.03333333333333333,0,0,0,11,nan,0,0
0,0.06666666666666667,0,0,0,11,0.20991754583450778,0,0
0,0.1,0,0,0,11,0.16481913826303932,0,0
0,0.15,0,0,0,11,0.10183290197512426,0,0
0,0.23333333333333334,0,0,0,11,0.09047676231294435,0,0
0,0.36666666666666664,0,0,0,11,0.08202877140122004,0,0
0,0.5666666666666667,0,0,0,11,0.06583414142520207,0,0
0,0.9166666666666666,0,0,0,11,0.055292012856052064,0,0
0,1.4666666666666666,0,0,0,11,0.05340323249436222,0,0
0,2.35,0,0,0,11,0.057704522640856265,0,0
0,3.7333333333333334,0,0,0,11,0.03851410611388161,0,0
0,0.03333333333333333,0,0,0,12,nan,0,0
0,0.06666666666666667,0,0,0,12,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,12,0.1720802744328507,0,0
0,0.13333333333333333,0,0,0,12,0.12481667361873426,0,0
0,0.2,0,0,0,12,0.08993488153808421,0,0
0,0.3,0,0,0,12,0.08880423721467508,0,0
0,0.45,0,0,0,12,0.06993639410805633,0,0
0,0.7,0,0,0,12,0.06291591266555449,0,0
0,1.0666666666666667,0,0,0,12,0.05632665667462899,0,0
0,1.65,0,0,0,12,0.04894669872592964,0,0
0,2.533333333333333,0,0,0,12,0.05103458921298506,0,0
0,3.9,0,0,0,12,0.039628735828177705,0,0
0,0.03333333333333333,0,0,0,13,1.6974749462184358,0,0
0,0.05,0,0,0,13,0.3962153903100272,0,0
0,0.08333333333333333,0,0,0,13,0.1817129585030672,0,0
0,0.11666666666666667,0,0,0,13,0.14578412253413478,0,0
0,0.16666666666666666,0,0,0,13,0.09271297703328533,0,0
0,0.25,0,0,0,13,0.09393714912535696,0,0
0,0.36666666666666664,0,0,0,13,0.08369330231289179,0,0
0,0.55,0,0,0,13,0.06605206481720113,0,0
0,0.8166666666666667,0,0,0,13,0.05566127705497934,0,0
0,1.2166666666666666,0,0,0,13,0.061322512734707436,0,0
0,1.8166666666666667,0,0,0,13,0.051210443209274537,0,0
0,2.7,0,0,0,13,0.049737078617170374,0,0
0,4.016666666666667,0,0,0,13,0.03960683116402961,0,0
0,0.03333333333333333,0,0,0,14,1.6974749462184358,0,0
0,0.05,0,0,0,14,0.3962153903100272,0,0
0,0.08333333333333333,0,0,0,14,0.1817129585030672,0,0
0,0.11666666666666667,0,0,0,14,0.15450507233487337,0,0
0,0.15,0,0,0,14,0.10448546841442027,0,0
0,0.21666666666666667,0,0,0,14,0.08733478548607608,0,0
0,0.31666666666666665,0,0,0,14,0.08909161531456382,0,0
0,0.45,0,0,0,14,0.07279358083455789,0,0
0,0.65,0,0,0,14,0.06498308736798877,0,0
0,0.95,0,0,0,14,0.05371291488283297,0,0
0,1.3666666666666667,0,0,0,14,0.062334714737460696,0,0
0,1.9833333333333334,0,0,0,14,0.052023165587510065,0,0
0,2.8666666666666667,0,0,0,14,0.04551204669706722,0,0
0,4.133333333333334,0,0,0,14,0.040834126417138,0,0
0,0.03333333333333333,0,0,0,15,1.6974749462184358,0,0
0,0.05,0,0,0,15,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,15,0.20991754583450778,0,0
0,0.1,0,0,0,15,0.16250022108135326,0,0
0,0.13333333333333333,0,0,0,15,0.12481667361873426,0,0
0,0.2,0,0,0,15,0.09219507729721853,0,0
0,0.26666666666666666,0,0,0,15,0.08798794405309046,0,0
0,0.38333333333333336,0,0,0,15,0.08568114182120819,0,0
0,0.5333333333333333,0,0,0,15,0.06876237794894356,0,0
0,0.7666666666666667,0,0,0,15,0.05683093649501901,0,0
0,1.0666666666666667,0,0,0,15,0.05614825124962306,0,0
0,1.5,0,0,0,15,0.04116317426071211,0,0
0,2.1333333333333333,0,0,0,15,0.07361560434267857,0,0
0,3.0166666666666666,0,0,0,15,0.03952197462485219,0,0
0,4.233333333333333,0,0,0,15,0.041054526446950367,0,0
0,0.03333333333333333,0,0,0,16,1.6974749462184358,0,0
0,0.05,0,0,0,16,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,16,0.20991754583450778,0,0
0,0.1,0,0,0,16,0.16250022108135326,0,0
0,0.13333333333333333,0,0,0,16,0.1326419027214113,0,0
0,0.18333333333333332,0,0,0,16,0.08951893569161966,0,0
0,0.25,0,0,0,16,0.09636041547981117,0,0
0,0.3333333333333333,0,0,0,16,0.08634205067727857,0,0
0,0.45,0,0,0,16,0.07400868470066752,0,0
0,0.6333333333333333,0,0,0,16,0.0682575354971175,0,0
0,0.8666666666666667,0,0,0,16,0.05356578315402881,0,0
0,1.1833333333333333,0,0,0,16,0.062223258337832744,0,0
0,1.65,0,0,0,16,0.035367776401633,0,0
0,2.2666666666666666,0,0,0,16,0.0766267122522591,0,0
0,3.1333333333333333,0,0,0,16,0.041456103814030754,0,0
0,4.35,0,0,0,16,0.035847628781536515,0,0
0,0.03333333333333333,0,0,0,17,1.6974749462184358,0,0
0,0.05,0,0,0,17,0.5593667629140747,0,0
0,0.06666666666666667,0,0,0,17,0.2751991033488881,0,0
0,0.08333333333333333,0,0,0,17,0.1817129585030672,0,0
0,0.11666666666666667,0,0,0,17,0.14578412253413478,0,0
0,0.16666666666666666,0,0,0,17,0.0976046360101267,0,0
0,0.21666666666666667,0,0,0,17,0.08796570449334783,0,0
0,0.2833333333333333,0,0,0,17,0.09130732963587562,0,0
0,0.4,0,0,0,17,0.08477346190884312,0,0
0,0.5333333333333333,0,0,0,17,0.06566963490542058,0,0
0,0.7166666666666667,0,0,0,17,0.06168510348132016,0,0
0,0.9666666666666667,0,0,0,17,0.0571077785317235,0,0
0,1.3166666666666667,0,0,0,17,0.05688063235558367,0,0
0,1.7666666666666666,0,0,0,17,0.04747995898139413,0,0
