,subj,dotmode,di,dur,bi,thresh,loc,scale,lapse
0,ALL,2d,1,33.333333333333336,0,1.5055246425768192,1.4560860428907434,0.2575950044380448,0.04365755022800165
1,ALL,2d,1,33.333333333333336,1,1.6541629654097898,1.5877303914078464,0.34393024807033407,0.04391188825708319
2,ALL,2d,1,33.333333333333336,2,1.2749117106814731,1.2297123447691005,0.23786181096708242,0.043265102720539766
3,ALL,2d,1,33.333333333333336,3,1.4990611479365379,1.4316136030495745,0.3497723389594046,0.04384501984594427
4,ALL,2d,1,33.333333333333336,4,2.044495035969034,1.9311475425664617,0.5862049913422733,0.04395330853770556
5,ALL,2d,1,33.333333333333336,5,1.2356743149596137,1.2299055431117232,0.025981081311496287,0.049778648138716554
6,ALL,2d,1,33.333333333333336,6,2.7782240909090916,2.6207715535301768,0.8080263794404241,0.044262665914670825
7,ALL,2d,1,33.333333333333336,7,3.490862431601791,3.2608515788598806,1.1540016448450507,0.0451772361906996
8,ALL,2d,1,33.333333333333336,8,2.1090402331807923,2.0414492359116023,0.3573045887993078,0.04308837070584716
9,ALL,2d,1,33.333333333333336,9,1.132305376115009,1.120449435234283,0.06201432893241918,0.04350416368830233
10,ALL,2d,1,33.333333333333336,10,1.1266197137289973,1.1089984174149037,0.06619631580694996,0.058428064662203724
11,ALL,2d,1,33.333333333333336,11,2.2492027882947485,2.1250297377627723,0.6409199307777307,0.04403237228125829
12,ALL,2d,1,33.333333333333336,12,1.6504073441759215,1.5730151322648158,0.3989775790430768,0.04408065265419439
13,ALL,2d,1,33.333333333333336,13,1.2017050607758304,1.177330821052254,0.10661783342399195,0.05109093535832764
14,ALL,2d,1,33.333333333333336,14,1.4094978190526486,1.3531827224574229,0.2912379549033436,0.04395463435189126
15,ALL,2d,1,33.333333333333336,15,1.1796535047334171,1.154591163744422,0.13089276426069113,0.0435643792619868
16,ALL,2d,1,33.333333333333336,16,2.1079801558329434,2.0160337688356273,0.4765324542364569,0.04386896225194276
17,ALL,2d,1,33.333333333333336,17,3.2080816820552096,3.0019831623880266,1.045647710037756,0.04472313661889755
18,ALL,2d,1,33.333333333333336,18,1.0965204153964367,1.0821936602171276,0.0537446315489381,0.05849957827358574
19,ALL,2d,1,33.333333333333336,19,1.0981675811298104,1.055103362836274,0.1487683753723714,0.06283523466387031
20,ALL,2d,1,33.333333333333336,20,1.7563498671262474,1.677858961015252,0.3771113983258572,0.04697609523028347
21,ALL,2d,3,50.0,0,0.5985771056406488,0.47165069566092316,0.14548785230058267,0.1455151985866825
22,ALL,2d,3,50.0,1,0.615994649742701,0.536567008994112,0.15741340575404125,0.09906020986041252
23,ALL,2d,3,50.0,2,0.5269079064187119,0.3533308404543434,0.13735498851312872,0.17934919455151996
24,ALL,2d,3,50.0,3,0.642355078006794,0.3630583756340811,0.13878300810801533,0.21658548218064316
25,ALL,2d,3,50.0,4,0.6435637706276026,0.45200563467089616,0.17965501169536424,0.16392616586034173
26,ALL,2d,3,50.0,5,0.5424109654292644,0.36267054439122043,0.13947863629271717,0.1810899682036557
27,ALL,2d,3,50.0,6,0.5331540379186499,0.4226728723582539,0.12293470599096101,0.14822515312891962
28,ALL,2d,3,50.0,7,0.549292263691715,0.41335824607339033,0.0901025743812025,0.19469836989349773
29,ALL,2d,3,50.0,8,0.5989779540754259,0.37370144771522995,0.14863940736781758,0.19508040544803754
30,ALL,2d,3,50.0,9,0.6174747089599494,0.5261190615847823,0.1639178044598729,0.10681536374662795
31,ALL,2d,3,50.0,10,0.531247543528641,0.42278157636433616,0.15821764068456373,0.12404662736506047
32,ALL,2d,3,50.0,11,0.6001033255655859,0.4183887711762732,0.11725907868019918,0.19692125273721278
33,ALL,2d,3,50.0,12,0.4653137911296253,0.3644352160671932,0.06945359018730131,0.19150152274450724
34,ALL,2d,3,50.0,13,0.46211340652055666,0.3541283603701354,0.10734434816700968,0.1585774382290296
35,ALL,2d,3,50.0,14,0.5382546403496629,0.4006602178593628,0.12503835429386778,0.16681698470476478
36,ALL,2d,3,50.0,15,0.5807550116452116,0.46873152479326224,0.14012199154806726,0.13760833405054038
