,subj,dotmode,di,dur,x,y,ntrials
0,ALL,2d,1,0.03333333333333333,0.0,0.5078125,128.0
1,ALL,2d,1,0.03333333333333333,0.015,0.5,14.0
2,ALL,2d,1,0.03333333333333333,0.03,0.47530864197530864,324.0
3,ALL,2d,1,0.03333333333333333,0.06,0.4876543209876543,324.0
4,ALL,2d,1,0.03333333333333333,0.12,0.4968944099378882,322.0
5,ALL,2d,1,0.03333333333333333,0.25,0.53125,320.0
6,ALL,2d,1,0.03333333333333333,0.5,0.5650406504065041,246.0
7,ALL,2d,1,0.03333333333333333,1.0,0.5642857142857143,140.0
8,ALL,2d,2,0.05,0.0,0.4875,160.0
9,ALL,2d,2,0.05,0.015,0.3333333333333333,18.0
10,ALL,2d,2,0.05,0.03,0.5051546391752577,388.0
11,ALL,2d,2,0.05,0.06,0.5013333333333333,375.0
12,ALL,2d,2,0.05,0.12,0.5194444444444445,360.0
13,ALL,2d,2,0.05,0.25,0.6205882352941177,340.0
14,ALL,2d,2,0.05,0.5,0.7101449275362319,414.0
15,ALL,2d,2,0.05,1.0,0.8220338983050848,236.0
16,ALL,2d,3,0.06666666666666667,0.0,0.49375,160.0
17,ALL,2d,3,0.06666666666666667,0.015,0.5,14.0
18,ALL,2d,3,0.06666666666666667,0.03,0.43636363636363634,330.0
19,ALL,2d,3,0.06666666666666667,0.06,0.5884146341463414,328.0
20,ALL,2d,3,0.06666666666666667,0.12,0.656441717791411,326.0
21,ALL,2d,3,0.06666666666666667,0.25,0.7546583850931677,322.0
22,ALL,2d,3,0.06666666666666667,0.5,0.8897058823529411,272.0
23,ALL,2d,3,0.06666666666666667,1.0,0.9785714285714285,140.0
24,ALL,2d,4,0.08333333333333333,0.0,0.5466666666666666,150.0
25,ALL,2d,4,0.08333333333333333,0.015,0.9,10.0
26,ALL,2d,4,0.08333333333333333,0.03,0.5185185185185185,324.0
27,ALL,2d,4,0.08333333333333333,0.06,0.5909090909090909,286.0
28,ALL,2d,4,0.08333333333333333,0.12,0.7054794520547946,292.0
29,ALL,2d,4,0.08333333333333333,0.25,0.8431372549019608,306.0
30,ALL,2d,4,0.08333333333333333,0.5,0.9257142857142857,350.0
31,ALL,2d,4,0.08333333333333333,1.0,0.9785714285714285,140.0
32,ALL,2d,5,0.1,0.0,0.4957983193277311,238.0
33,ALL,2d,5,0.1,0.015,0.5555555555555556,18.0
34,ALL,2d,5,0.1,0.03,0.5612244897959183,490.0
35,ALL,2d,5,0.1,0.06,0.6403326403326404,481.0
36,ALL,2d,5,0.1,0.12,0.7418032786885246,488.0
37,ALL,2d,5,0.1,0.25,0.8542094455852156,487.0
38,ALL,2d,5,0.1,0.5,0.9700854700854701,468.0
39,ALL,2d,5,0.1,1.0,1.0,236.0
40,ALL,2d,6,0.13333333333333333,0.0,0.4742268041237113,194.0
41,ALL,2d,6,0.13333333333333333,0.015,0.5833333333333334,12.0
42,ALL,2d,6,0.13333333333333333,0.03,0.6111111111111112,360.0
43,ALL,2d,6,0.13333333333333333,0.06,0.6184834123222749,422.0
44,ALL,2d,6,0.13333333333333333,0.12,0.7284263959390863,394.0
45,ALL,2d,6,0.13333333333333333,0.25,0.8831521739130435,368.0
46,ALL,2d,6,0.13333333333333333,0.5,0.9651162790697675,344.0
47,ALL,2d,6,0.13333333333333333,1.0,1.0,140.0
48,ALL,2d,7,0.16666666666666666,0.0,0.6153846153846154,234.0
49,ALL,2d,7,0.16666666666666666,0.015,0.35714285714285715,14.0
50,ALL,2d,7,0.16666666666666666,0.03,0.5910165484633569,423.0
51,ALL,2d,7,0.16666666666666666,0.06,0.6767676767676768,396.0
52,ALL,2d,7,0.16666666666666666,0.12,0.8116279069767441,430.0
53,ALL,2d,7,0.16666666666666666,0.25,0.9509594882729211,469.0
54,ALL,2d,7,0.16666666666666666,0.5,0.9824902723735408,514.0
55,ALL,2d,7,0.16666666666666666,1.0,1.0,199.0
56,ALL,2d,8,0.21666666666666667,0.0,0.421875,192.0
57,ALL,2d,8,0.21666666666666667,0.015,0.5,14.0
58,ALL,2d,8,0.21666666666666667,0.03,0.5919395465994962,397.0
59,ALL,2d,8,0.21666666666666667,0.06,0.6852791878172588,394.0
60,ALL,2d,8,0.21666666666666667,0.12,0.8389057750759878,329.0
61,ALL,2d,8,0.21666666666666667,0.25,0.9711538461538461,312.0
62,ALL,2d,8,0.21666666666666667,0.5,0.9867986798679867,303.0
63,ALL,2d,8,0.21666666666666667,1.0,1.0,177.0
64,ALL,2d,9,0.26666666666666666,0.0,0.4716981132075472,212.0
65,ALL,2d,9,0.26666666666666666,0.015,0.7,20.0
66,ALL,2d,9,0.26666666666666666,0.03,0.5881006864988558,437.0
67,ALL,2d,9,0.26666666666666666,0.06,0.6816143497757847,446.0
68,ALL,2d,9,0.26666666666666666,0.12,0.8423153692614771,501.0
69,ALL,2d,9,0.26666666666666666,0.25,0.9487179487179487,468.0
70,ALL,2d,9,0.26666666666666666,0.5,0.9913419913419913,462.0
71,ALL,2d,9,0.26666666666666666,1.0,1.0,210.0
72,ALL,2d,10,0.35,0.0,0.4678111587982833,233.0
73,ALL,2d,10,0.35,0.015,0.625,16.0
74,ALL,2d,10,0.35,0.03,0.6236323851203501,457.0
75,ALL,2d,10,0.35,0.06,0.7419354838709677,465.0
76,ALL,2d,10,0.35,0.12,0.8369304556354916,417.0
77,ALL,2d,10,0.35,0.25,0.9702970297029703,404.0
78,ALL,2d,10,0.35,0.5,0.9951807228915662,415.0
79,ALL,2d,10,0.35,1.0,1.0,188.0
80,ALL,2d,11,0.45,0.0,0.4595744680851064,235.0
81,ALL,2d,11,0.45,0.015,0.7142857142857143,14.0
82,ALL,2d,11,0.45,0.03,0.6498855835240275,437.0
83,ALL,2d,11,0.45,0.06,0.726161369193154,409.0
84,ALL,2d,11,0.45,0.12,0.8744588744588745,462.0
85,ALL,2d,11,0.45,0.25,0.9697624190064795,463.0
